name_old,name_clean,address,city,postal_cod,"address, c",phone,email,field_9,website,Source,Latitude,Longitude
GreatRiverCo-op(*Organizing),Great River Co-op(* Organizing),,,3608,", , 03608",603-477-4732,http://www.greatriverfoodcoop.com,,https://www.nationalco-opdirectory.com,,,
DorchesterCommunityFoodCo-op(*NotaStorefront),Dorchester Community Food Co-op(* Nota Storefront),Boston,,2124,"Boston, , 02124",N/A,http://www.dorchesterfoodcoop.com,,https://www.nationalco-opdirectory.com,,,
FinlandCooperative,Finland Cooperative,Box E Main Street,,55603,"Box E Main Street, , 55603",218-353-7389,https://finlandcoop.com/,,https://www.nationalco-opdirectory.com,,,
McCusker's Market,Mc Cusker's  Market,Mc Cusker's  Market3  State  St,,1370,"Mc Cusker's  Market3  State  St, , 01370",413 625-9411,,,Food for change,,42.6035186,-72.74170505
Roanoke Co+op (Market Square),Roanoke  Co+op ( Market  Square),One  Market  Square,,24011,"One  Market  Square, , 24011",(540) 904-2733,,,http://www.roanokenaturalfoods.coop,https://www.ncg.coop/,32.012503,-97.132227
HillsboroFoodCo-op(ORGANIZING),Hillsboro Food Co-op( O R G A N I Z I N G),P O Box 3953,,97123,"P O Box 3953, , 97123",971-205-2374,https://hillsborofood.coop/,,https://www.nationalco-opdirectory.com,,,
Idaho'sBounty(*NotaStorefront),Idaho's Bounty(* Nota Storefront),P O Box 45755,,83711,"P O Box 45755, , 83711",208-721-8074,http://www.idahosbounty.org,,https://www.nationalco-opdirectory.com,,,
Sitka Food Co-op,Sitka  Food  Co-op,P. O.  Box 6407,,99835,"P. O.  Box 6407, , 99835",907-752-2335,,,Food for change,,57.222921,-135.293483
Nebraska Food Cooperative,Nebraska  Food  Cooperative,P. O.  Box 94691,,68509,"P. O.  Box 94691, , 68509",800 993-2379,,,Food for change,,40.678049,-95.859516
CrossTimbersFoodCooperative(*NotaStorefront),Cross Timbers Food Cooperative(* Nota Storefront),T X,,,"T X, ,",N/A,http://www.crosstimberscoop.org,,https://www.nationalco-opdirectory.com,,,
Main Street Market Co-op,Main  Street  Market  Co-op,1  S  Main  St,,54868,"1  S  Main  St, , 54868",715 234-7045,,,Food for change,,38.030372,-78.487101
Outpost Natural Foods,Outpost  Natural  Foods,100  E  Capitol  Dr.,,53212,"100  E  Capitol  Dr., , 53212",414 961-2597,,,Food for change,,43.0897699,-87.9098985
Breadroot Natural Foods Co-op,Breadroot  Natural  Foods  Co-op,100  East  Boulevard  North,Rapid  City,57701,"100  East  Boulevard  North,  Rapid  City, 57701",(605) 348-3331,,,https://www.breadroot.com/,https://www.ncg.coop/,44.0833774,-103.2136006
Outpost Natural Foods Co-op (Capitol Drive),Outpost  Natural  Foods  Co-op ( Capitol  Drive),100  East  Capitol  Drive,,53212,"100  East  Capitol  Drive, , 53212",(414) 961-2597,,,http://www.outpost.coop,https://www.ncg.coop/,35.666437,-97.488911
Honest Weight Food Co-op,Honest  Weight  Food  Co-op,100  Watervliet  Avenue,,12206,"100  Watervliet  Avenue, , 12206",(518) 482-2667,,,http://www.honestweight.coop,https://www.ncg.coop/,42.6786492,-73.7815230985604
BreadrootNaturalFoodsCooperative,Breadroot Natural Foods Cooperative,100 East Blvd N.,Rapid  City,57701,"100 East Blvd N.,  Rapid  City, 57701",605-348-3331,http://www.breadroot.com,,https://www.nationalco-opdirectory.com,,,
Ever'man Cooperative Grocery & Cafe (Nine Mile Road),Ever'man  Cooperative  Grocery &  Cafe ( Nine  Mile  Road),1000  East  Nine  Mile  Road,,32514,"1000  East  Nine  Mile  Road, , 32514",(850) 438-0402,info@everman.org,,http://www.everman.org,https://www.ncg.coop/,30.4115914,-87.2207487
HoneyCreekMarket,Honey Creek Market,1000 East Hilton Street,,52301,"1000 East Hilton Street, , 52301",608-546-3331,N/A,,https://www.nationalco-opdirectory.com,,,
Good Food Store Co-op,Good  Food  Store  Co-op,1001 6th  Street,,55901,"1001 6th  Street, , 55901",507 289-9061,,,Food for change,,46.8676091,-114.0203383
Vancouver Grocery Food Co-op,Vancouver  Grocery  Food  Co-op,1002  Main  St.,,98660,"1002  Main  St., , 98660",360 694-8094,,,Food for change,,45.632518,-122.543137
First Alternative Co-op (South),First  Alternative  Co-op ( South),1007  S. E.  Third  Street,,97333,"1007  S. E.  Third  Street, , 97333",(541) 753-3115,firstalt@firstalt.coop,,http://www.firstalt.coop,https://www.ncg.coop/,44.5538125,-123.2645207
First Alternative Natural Foods Co-op South Store,First  Alternative  Natural  Foods  Co-op  South  Store,1007  Southeast 3rd  Street,,97333,"1007  Southeast 3rd  Street, , 97333",541 753-3115,,,Food for change,,44.5538125,-123.2645207
FirstAlternativeNaturalFoodsCo-op(2stores)•SouthStore,First Alternative Natural Foods Co-op(2stores)• South Store,1007 S E Third St,,97333,"1007 S E Third St, , 97333",541-753-3115,http://www.firstalt.coop,,https://www.nationalco-opdirectory.com,,,
Weaver Street Market (Carrboro),Weaver  Street  Market ( Carrboro),101  East  Weaver  Street,,27510,"101  East  Weaver  Street, , 27510",(919) 929-0010,,,http://www.weaverstreetmarket.coop,https://www.ncg.coop/,35.9111483,-79.0713644859335
GryglaCo-opCompany,Grygla Co-op Company,102 S. Main Ave.,,56727,"102 S. Main Ave., , 56727",218-294-6232,N/A,,https://www.nationalco-opdirectory.com,,,
Rainbow Food Co-op,Rainbow  Food  Co-op,103  South  Main  Street,,56013,"103  South  Main  Street, , 56013",507 526-3603,,,Food for change,,33.919746,-86.126819
Keweenaw Co-op Market & Deli,Keweenaw  Co-op  Market &  Deli,1035  Ethel  Avenue,,49930,"1035  Ethel  Avenue, , 49930",(906) 482-2030,info@keweenaw.coop,,http://www.keweenaw.coop,https://www.ncg.coop/,47.2455413,-88.4533175
